match_id,minute,blue_win,blue_kills,red_kills,diff_kills,blue_towers,red_towers,diff_towers,blue_dragons,red_dragons,blue_barons,red_barons,blue_heralds,red_heralds,diff_dragons,diff_barons,blue_total_gold,red_total_gold,diff_total_gold,blue_top_current_gold,red_top_current_gold,diff_top_current_gold,blue_top_total_gold,red_top_total_gold,diff_top_total_gold,blue_top_cs,red_top_cs,diff_top_cs,blue_top_level,red_top_level,diff_top_level,blue_jg_current_gold,red_jg_current_gold,diff_jg_current_gold,blue_jg_total_gold,red_jg_total_gold,diff_jg_total_gold,blue_jg_cs,red_jg_cs,diff_jg_cs,blue_jg_level,red_jg_level,diff_jg_level,blue_mid_current_gold,red_mid_current_gold,diff_mid_current_gold,blue_mid_total_gold,red_mid_total_gold,diff_mid_total_gold,blue_mid_cs,red_mid_cs,diff_mid_cs,blue_mid_level,red_mid_level,diff_mid_level,blue_bot_current_gold,red_bot_current_gold,diff_bot_current_gold,blue_bot_total_gold,red_bot_total_gold,diff_bot_total_gold,blue_bot_cs,red_bot_cs,diff_bot_cs,blue_bot_level,red_bot_level,diff_bot_level,blue_sup_current_gold,red_sup_current_gold,diff_sup_current_gold,blue_sup_total_gold,red_sup_total_gold,diff_sup_total_gold,blue_sup_cs,red_sup_cs,diff_sup_cs,blue_sup_level,red_sup_level,diff_sup_level
KR_8189683836,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,100,100,0,500,500,0,0,0,0,1,1,0
KR_8189683836,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,2510,20,5,0,5,505,500,5,0,0,0,1,1,0,0,5,-5,500,505,-5,0,0,0,1,1,0,20,0,20,520,500,20,1,0,1,1,1,0,5,5,0,505,505,0,0,0,0,1,1,0,0,0,0,500,500,0,0,0,0,1,1,0
KR_8189683836,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3978,3826,152,294,201,93,794,701,93,10,5,5,2,2,0,297,392,-95,797,892,-95,8,12,-4,2,3,-1,337,261,76,837,761,76,13,8,5,2,2,0,342,293,49,842,793,49,13,10,3,2,2,0,208,179,29,708,679,29,1,2,-1,2,2,0
KR_8189683836,3.0,1,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,5376,6135,-759,240,286,-46,1040,1311,-271,15,10,5,3,3,0,624,372,252,1124,1297,-173,16,16,0,3,3,0,617,583,34,1117,1083,34,20,18,2,4,4,0,64,721,-657,1164,1221,-57,23,17,6,3,3,0,431,723,-292,931,1223,-292,3,6,-3,3,3,0
KR_8189683836,4.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8140,7506,634,907,143,764,1707,1468,239,24,12,12,5,4,1,1523,244,1279,2023,1519,504,24,20,4,4,4,0,211,170,41,1841,1220,621,27,19,8,4,4,0,310,321,-11,1460,1621,-161,31,21,10,4,4,0,184,48,136,1109,1678,-569,5,7,-2,3,3,0
KR_8189683836,5.0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,10046,8785,1261,1233,361,872,2033,1686,347,26,18,8,6,5,1,2310,451,1859,2810,1726,1084,36,24,12,5,4,1,475,488,-13,2105,1538,567,35,30,5,5,5,0,627,622,5,1777,1922,-145,42,32,10,4,4,0,391,283,108,1321,1913,-592,9,12,-3,4,4,0
KR_8189683836,6.0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,11354,10109,1245,125,335,-210,2175,1910,265,27,24,3,6,5,1,83,714,-631,2933,1989,944,36,30,6,5,4,1,84,106,-22,2414,1856,558,44,40,4,6,6,0,991,932,59,2141,2232,-91,54,41,13,5,5,0,761,492,269,1691,2122,-431,11,14,-3,5,5,0
KR_8189683836,7.0,1,5,3,2,0,0,0,1,0,0,0,0,0,1,0,13208,11455,1753,82,351,-269,2732,2176,556,38,31,7,7,6,1,504,1136,-632,3354,2411,943,48,42,6,6,5,1,382,399,-17,2712,2149,563,52,50,2,7,6,1,1328,172,1156,2478,2422,56,64,45,19,5,5,0,1002,267,735,1932,2297,-365,13,15,-2,5,5,0
KR_8189683836,8.0,1,6,3,3,0,0,0,1,0,0,0,0,0,1,0,15136,12768,2368,311,600,-289,2961,2430,531,44,39,5,7,7,0,972,163,809,3822,2738,1084,56,50,6,6,6,0,214,117,97,3394,2367,1027,61,56,5,7,7,0,1645,459,1186,2795,2709,86,75,55,20,6,6,0,1234,494,740,2164,2524,-360,14,17,-3,6,6,0
KR_8189683836,9.0,1,8,3,5,0,0,0,1,0,0,0,0,0,1,0,17564,13989,3575,599,887,-288,3254,2717,537,51,47,4,8,7,1,989,230,759,4594,2880,1714,57,51,6,7,6,1,819,356,463,3999,2606,1393,69,61,8,8,7,1,158,393,-235,3183,2993,190,83,59,24,6,6,0,104,363,-259,2534,2793,-259,15,19,-4,6,6,0
