match_id,minute,blue_win,blue_kills,red_kills,diff_kills,blue_towers,red_towers,diff_towers,blue_dragons,red_dragons,blue_barons,red_barons,blue_heralds,red_heralds,diff_dragons,diff_barons,blue_total_gold,red_total_gold,diff_total_gold,blue_top_current_gold,red_top_current_gold,diff_top_current_gold,blue_top_total_gold,red_top_total_gold,diff_top_total_gold,blue_top_cs,red_top_cs,diff_top_cs,blue_top_level,red_top_level,diff_top_level,blue_jg_current_gold,red_jg_current_gold,diff_jg_current_gold,blue_jg_total_gold,red_jg_total_gold,diff_jg_total_gold,blue_jg_cs,red_jg_cs,diff_jg_cs,blue_jg_level,red_jg_level,diff_jg_level,blue_mid_current_gold,red_mid_current_gold,diff_mid_current_gold,blue_mid_total_gold,red_mid_total_gold,diff_mid_total_gold,blue_mid_cs,red_mid_cs,diff_mid_cs,blue_mid_level,red_mid_level,diff_mid_level,blue_bot_current_gold,red_bot_current_gold,diff_bot_current_gold,blue_bot_total_gold,red_bot_total_gold,diff_bot_total_gold,blue_bot_cs,red_bot_cs,diff_bot_cs,blue_bot_level,red_bot_level,diff_bot_level,blue_sup_current_gold,red_sup_current_gold,diff_sup_current_gold,blue_sup_total_gold,red_sup_total_gold,diff_sup_total_gold,blue_sup_cs,red_sup_cs,diff_sup_cs,blue_sup_level,red_sup_level,diff_sup_level
KR_8127940045,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,100,100,0,500,500,0,0,0,0,1,1,0
KR_8127940045,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,2505,0,0,0,0,500,500,0,0,0,0,1,1,0,0,50,-50,500,500,0,0,0,0,1,1,0,0,0,0,500,500,0,0,0,0,1,1,0,0,5,-5,500,505,-5,0,0,0,1,1,0,5,0,5,505,500,5,0,0,0,1,1,0
KR_8127940045,2.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4149,3940,209,317,277,40,817,777,40,12,10,2,2,2,0,703,363,340,1203,813,390,8,10,-2,2,2,0,201,323,-122,701,823,-122,5,12,-7,2,2,0,249,348,-99,749,848,-99,8,13,-5,2,2,0,179,179,0,679,679,0,3,2,1,2,2,0
KR_8127940045,3.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5926,6145,-219,85,686,-601,1085,1186,-101,19,15,4,4,3,1,1339,1045,294,1839,1495,344,17,20,-3,3,3,0,126,25,101,1026,1425,-399,8,21,-13,4,4,0,611,684,-73,1111,1184,-73,20,24,-4,3,3,0,365,355,10,865,855,10,6,3,3,3,3,0
KR_8127940045,4.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7286,7716,-430,389,158,231,1389,1458,-69,28,24,4,5,4,1,1681,1380,301,2181,1830,351,25,29,-4,4,4,0,354,321,33,1254,1721,-467,12,29,-17,4,5,-1,893,1102,-209,1393,1602,-209,27,36,-9,4,4,0,569,605,-36,1069,1105,-36,9,5,4,4,4,0
KR_8127940045,5.0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,9304,9304,0,243,182,61,1593,1982,-389,33,32,1,5,5,0,6,85,-79,2686,2185,501,29,29,0,4,4,0,557,605,-48,1457,2005,-548,17,38,-21,5,6,-1,1578,126,1452,2078,1851,227,36,43,-7,4,4,0,990,31,959,1490,1281,209,10,7,3,4,4,0
KR_8127940045,6.0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,10996,10958,38,859,113,746,2209,2313,-104,42,42,0,6,5,1,334,507,-173,3014,2607,407,37,42,-5,5,5,0,862,943,-81,1762,2343,-581,26,49,-23,6,6,0,236,504,-268,2336,2229,107,44,56,-12,5,5,0,175,216,-41,1675,1466,209,13,10,3,5,4,1
KR_8127940045,7.0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,12856,12447,409,445,432,13,2495,2632,-137,50,52,-2,7,6,1,716,739,-23,3396,2839,557,41,46,-5,6,6,0,73,273,-200,2473,2623,-150,34,57,-23,7,7,0,528,887,-359,2628,2612,16,52,66,-14,5,5,0,364,491,-127,1864,1741,123,15,11,4,5,5,0
KR_8127940045,8.0,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,15214,13686,1528,19,184,-165,2944,2884,60,61,60,1,7,7,0,285,1040,-755,3940,3140,800,45,54,-9,6,6,0,319,565,-246,2719,2915,-196,42,67,-25,7,7,0,36,111,-75,3336,2836,500,59,72,-13,6,6,0,100,61,39,2275,1911,364,16,11,5,6,5,1
KR_8127940045,9.0,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,16521,16558,-37,480,196,284,3405,3696,-291,72,67,5,8,7,1,435,432,3,4090,3682,408,47,58,-11,6,7,-1,90,1228,-1138,2890,3578,-688,45,84,-39,8,8,0,311,625,-314,3616,3350,266,65,88,-23,6,6,0,345,397,-52,2520,2252,268,16,15,1,6,6,0
KR_8127940045,10.0,0,9,5,4,0,0,0,1,0,0,0,0,0,1,0,17802,18042,-240,141,489,-348,3691,3989,-298,82,75,7,9,8,1,763,710,53,4418,3965,453,55,63,-8,7,7,0,294,248,46,3094,3923,-829,50,88,-38,8,9,-1,502,116,386,3807,3666,141,67,92,-25,7,7,0,617,144,473,2792,2499,293,19,17,2,7,6,1
KR_8127940045,11.0,0,11,8,3,0,0,0,1,0,0,0,0,0,1,0,19516,20767,-1251,184,114,70,4159,4214,-55,83,81,2,9,8,1,615,980,-365,4645,4235,410,59,67,-8,7,7,0,249,131,118,3599,4356,-757,54,94,-40,8,9,-1,466,1429,-963,4021,4979,-958,68,99,-31,7,7,0,212,628,-416,3092,2983,109,22,18,4,7,7,0
KR_8127940045,12.0,0,13,9,4,0,0,0,1,0,0,0,0,0,1,0,21787,22992,-1205,644,388,256,4619,4488,131,91,91,0,10,9,1,1311,1332,-21,5341,4592,749,63,76,-13,8,8,0,768,403,365,4118,4628,-510,59,100,-41,9,9,0,53,797,-744,4383,5927,-1544,80,106,-26,7,8,-1,446,452,-6,3326,3357,-31,25,18,7,7,7,0
