match_id,minute,blue_win,blue_kills,red_kills,diff_kills,blue_towers,red_towers,diff_towers,blue_dragons,red_dragons,blue_barons,red_barons,blue_heralds,red_heralds,diff_dragons,diff_barons,blue_total_gold,red_total_gold,diff_total_gold,blue_top_current_gold,red_top_current_gold,diff_top_current_gold,blue_top_total_gold,red_top_total_gold,diff_top_total_gold,blue_top_cs,red_top_cs,diff_top_cs,blue_top_level,red_top_level,diff_top_level,blue_jg_current_gold,red_jg_current_gold,diff_jg_current_gold,blue_jg_total_gold,red_jg_total_gold,diff_jg_total_gold,blue_jg_cs,red_jg_cs,diff_jg_cs,blue_jg_level,red_jg_level,diff_jg_level,blue_mid_current_gold,red_mid_current_gold,diff_mid_current_gold,blue_mid_total_gold,red_mid_total_gold,diff_mid_total_gold,blue_mid_cs,red_mid_cs,diff_mid_cs,blue_mid_level,red_mid_level,diff_mid_level,blue_bot_current_gold,red_bot_current_gold,diff_bot_current_gold,blue_bot_total_gold,red_bot_total_gold,diff_bot_total_gold,blue_bot_cs,red_bot_cs,diff_bot_cs,blue_bot_level,red_bot_level,diff_bot_level,blue_sup_current_gold,red_sup_current_gold,diff_sup_current_gold,blue_sup_total_gold,red_sup_total_gold,diff_sup_total_gold,blue_sup_cs,red_sup_cs,diff_sup_cs,blue_sup_level,red_sup_level,diff_sup_level
KR_8188296179,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,100,100,0,500,500,0,0,0,0,1,1,0
KR_8188296179,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,2520,0,0,0,0,500,500,0,0,0,0,1,1,0,0,50,-50,500,500,0,0,0,0,1,1,0,20,20,0,520,520,0,1,1,0,1,1,0,0,0,0,500,500,0,0,0,0,1,1,0,0,0,0,500,500,0,0,0,0,1,1,0
KR_8188296179,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3767,3949,-182,133,297,-164,633,797,-164,1,11,-10,2,2,0,355,437,-82,855,887,-32,10,12,-2,2,3,-1,289,309,-20,789,809,-20,10,11,-1,2,2,0,309,275,34,809,775,34,11,9,2,2,2,0,181,181,0,681,681,0,2,2,0,2,2,0
KR_8188296179,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5881,5862,19,141,1073,-932,941,1573,-632,10,22,-12,3,4,-1,1196,754,442,1696,1204,492,23,20,3,3,3,0,775,173,602,1275,1123,152,18,20,-2,4,4,0,583,603,-20,1083,1103,-20,18,19,-1,3,3,0,386,359,27,886,859,27,3,3,0,3,3,0
KR_8188296179,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7241,7225,16,417,165,252,1217,1790,-573,17,27,-10,4,5,-1,62,1020,-958,1962,1470,492,31,28,3,4,4,0,280,503,-223,1530,1453,77,24,30,-6,4,5,-1,947,947,0,1447,1447,0,30,30,0,4,4,0,585,565,20,1085,1065,20,4,3,1,4,4,0
KR_8188296179,5.0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,9349,8603,746,87,123,-36,1387,2398,-1011,20,40,-20,5,6,-1,733,230,503,2633,1655,978,32,30,2,4,4,0,614,781,-167,1864,1731,133,37,39,-2,5,5,0,177,119,58,2052,1569,483,36,30,6,4,4,0,38,50,-12,1413,1250,163,5,3,2,4,4,0
KR_8188296179,6.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10640,10265,375,43,208,-165,1643,2908,-1265,26,48,-22,5,7,-2,1066,524,542,2966,1949,1017,40,37,3,5,5,0,209,49,160,2109,2049,60,44,49,-5,6,6,0,427,423,4,2302,1873,429,42,39,3,5,4,1,245,286,-41,1620,1486,134,8,5,3,4,4,0
KR_8188296179,7.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12048,11623,425,214,524,-310,1814,3229,-1415,29,58,-29,6,7,-1,99,756,-657,3204,2181,1023,45,41,4,5,5,0,554,375,179,2454,2375,79,55,59,-4,7,7,0,852,551,301,2727,2126,601,54,47,7,5,5,0,474,512,-38,1849,1712,137,8,8,0,5,5,0
KR_8188296179,8.0,1,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,13346,13242,104,505,1018,-513,2105,3723,-1618,37,69,-32,6,8,-2,330,1083,-753,3435,2513,922,50,50,0,6,5,1,93,665,-572,2693,2665,28,62,70,-8,7,8,-1,1144,877,267,3019,2452,567,64,59,5,6,5,1,719,64,655,2094,1889,205,9,9,0,6,5,1
KR_8188296179,9.0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,15620,14836,784,508,69,439,2358,4200,-1842,45,73,-28,7,8,-1,434,229,205,4314,2759,1555,58,54,4,6,6,0,453,204,249,3053,3104,-51,74,79,-5,8,8,0,467,187,280,3217,2637,580,64,63,1,6,5,1,253,301,-48,2678,2136,542,9,11,-2,6,5,1
KR_8188296179,10.0,1,8,5,3,0,0,0,0,0,0,0,0,0,0,0,18047,16768,1279,733,533,200,2583,4663,-2080,49,91,-42,7,9,-2,1125,318,807,5005,2998,2007,62,60,2,7,6,1,1215,374,841,3815,3274,541,81,82,-1,8,8,0,967,877,90,3717,3327,390,75,72,3,7,6,1,202,371,-169,2927,2506,421,9,12,-3,6,6,0
KR_8188296179,11.0,1,10,6,4,0,0,0,0,0,0,0,0,0,0,0,20155,18330,1825,81,1181,-1100,2836,5316,-2480,56,102,-46,8,10,-2,1899,111,1788,5784,3141,2643,73,60,13,8,6,2,328,740,-412,4128,3640,488,92,96,-4,9,9,0,1326,1039,287,4076,3489,587,81,74,7,7,6,1,606,609,-3,3331,2744,587,10,13,-3,7,6,1
KR_8188296179,12.0,1,10,6,4,0,0,0,0,0,0,0,0,0,0,0,21421,19827,1594,285,647,-362,3040,5582,-2542,61,111,-50,8,11,-3,2217,547,1670,6102,3577,2525,82,72,10,8,7,1,596,999,-403,4396,3899,497,99,104,-5,9,9,0,392,82,310,4347,3832,515,88,85,3,7,7,0,211,202,9,3536,2937,599,11,15,-4,7,7,0
KR_8188296179,13.0,1,13,8,5,0,1,-1,0,0,0,0,0,0,0,0,23984,22759,1225,99,1696,-1597,3204,6631,-3427,63,127,-64,8,12,-4,225,94,131,6710,3974,2736,88,74,14,9,8,1,193,737,-544,4943,4837,106,109,106,3,10,10,0,1296,31,1265,5251,4106,1145,97,91,6,8,7,1,546,476,70,3876,3211,665,12,15,-3,7,7,0
KR_8188296179,14.0,1,13,9,4,0,1,-1,1,0,0,0,0,0,1,0,25663,25059,604,726,208,518,3831,6843,-3012,81,133,-52,9,12,-3,507,437,70,6992,4317,2675,96,82,14,10,8,2,478,999,-521,5233,5099,134,120,115,5,10,10,0,155,1163,-1008,5510,5238,272,102,97,5,8,8,0,767,122,645,4097,3562,535,12,16,-4,8,7,1
KR_8188296179,15.0,1,14,11,3,0,1,-1,1,0,0,0,0,0,1,0,27697,27440,257,164,981,-817,4144,7616,-3472,90,145,-55,10,13,-3,1094,459,635,7579,4622,2957,100,90,10,10,9,1,374,184,190,5529,5384,145,123,120,3,11,11,0,564,712,-148,5919,5912,7,113,99,14,9,8,1,496,466,30,4526,3906,620,12,16,-4,8,8,0
KR_8188296179,16.0,1,15,13,2,1,1,0,1,0,0,0,0,1,1,0,29363,29742,-379,460,1482,-1022,4440,8117,-3677,95,145,-50,11,13,-2,333,38,295,7918,5001,2917,105,94,11,10,9,1,146,563,-417,5701,5763,-62,123,133,-10,11,11,0,545,1532,-987,6505,6737,-232,116,107,9,9,9,0,369,684,-315,4799,4124,675,12,16,-4,8,8,0
KR_8188296179,17.0,1,18,13,5,1,2,-1,1,0,0,0,0,1,1,0,32349,31402,947,928,48,880,4908,8433,-3525,110,154,-44,11,13,-2,758,416,342,8418,5379,3039,106,102,4,10,10,0,899,997,-98,6454,6197,257,132,139,-7,11,11,0,1443,277,1166,7403,7007,396,125,112,13,10,9,1,336,941,-605,5166,4386,780,12,17,-5,9,8,1
KR_8188296179,18.0,1,19,14,5,3,2,1,1,0,0,0,0,1,1,0,34589,33181,1408,13,338,-325,5619,8728,-3109,118,164,-46,12,14,-2,1339,138,1201,8999,5726,3273,119,111,8,11,10,1,622,626,-4,6677,6566,111,132,152,-20,11,12,-1,1838,269,1569,7798,7599,199,131,116,15,10,10,0,365,377,-12,5496,4562,934,12,17,-5,9,9,0
KR_8188296179,19.0,1,19,14,5,3,2,1,1,0,0,0,0,1,1,0,36421,34366,2055,740,500,240,6345,8895,-2550,134,166,-32,13,14,-1,314,380,-66,9179,5968,3211,121,113,8,11,10,1,247,135,112,7092,6775,317,147,157,-10,12,12,0,73,659,-586,8133,7989,144,143,124,19,10,10,0,542,553,-11,5672,4739,933,12,17,-5,9,9,0
