match_id,minute,blue_win,blue_kills,red_kills,diff_kills,blue_towers,red_towers,diff_towers,blue_dragons,red_dragons,blue_barons,red_barons,blue_heralds,red_heralds,diff_dragons,diff_barons,blue_total_gold,red_total_gold,diff_total_gold,blue_top_current_gold,red_top_current_gold,diff_top_current_gold,blue_top_total_gold,red_top_total_gold,diff_top_total_gold,blue_top_cs,red_top_cs,diff_top_cs,blue_top_level,red_top_level,diff_top_level,blue_jg_current_gold,red_jg_current_gold,diff_jg_current_gold,blue_jg_total_gold,red_jg_total_gold,diff_jg_total_gold,blue_jg_cs,red_jg_cs,diff_jg_cs,blue_jg_level,red_jg_level,diff_jg_level,blue_mid_current_gold,red_mid_current_gold,diff_mid_current_gold,blue_mid_total_gold,red_mid_total_gold,diff_mid_total_gold,blue_mid_cs,red_mid_cs,diff_mid_cs,blue_mid_level,red_mid_level,diff_mid_level,blue_bot_current_gold,red_bot_current_gold,diff_bot_current_gold,blue_bot_total_gold,red_bot_total_gold,diff_bot_total_gold,blue_bot_cs,red_bot_cs,diff_bot_cs,blue_bot_level,red_bot_level,diff_bot_level,blue_sup_current_gold,red_sup_current_gold,diff_sup_current_gold,blue_sup_total_gold,red_sup_total_gold,diff_sup_total_gold,blue_sup_cs,red_sup_cs,diff_sup_cs,blue_sup_level,red_sup_level,diff_sup_level
KR_8170643888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,500,500,0,500,500,0,0,0,0,1,1,0,100,100,0,500,500,0,0,0,0,1,1,0
KR_8170643888,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,2505,0,0,0,0,500,500,0,0,0,0,1,1,0,0,0,0,500,500,0,0,0,0,1,1,0,0,5,-5,500,505,-5,0,0,0,1,1,0,5,0,5,505,500,5,0,0,0,1,1,0,0,0,0,500,500,0,0,0,0,1,1,0
KR_8170643888,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3811,3963,-152,207,317,-110,707,817,-110,5,12,-7,2,2,0,368,363,5,868,863,5,12,12,0,3,2,1,303,308,-5,803,808,-5,11,11,0,3,2,1,254,289,-35,754,789,-35,8,10,-2,2,2,0,179,186,-7,679,686,-7,2,2,0,2,2,0
KR_8170643888,3.0,0,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,5551,6327,-776,467,283,184,967,1083,-116,14,21,-7,4,4,0,784,675,109,1284,1175,109,24,20,4,4,3,1,575,596,-21,1075,1096,-21,20,19,1,4,4,0,152,202,-50,1252,1402,-150,13,19,-6,2,3,-1,73,71,2,973,1571,-598,2,2,0,2,2,0
KR_8170643888,4.0,0,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,6902,7604,-702,323,279,44,1223,1379,-156,20,29,-9,4,4,0,1031,83,948,1531,1358,173,29,24,5,4,3,1,65,110,-45,1365,1360,5,28,26,2,5,5,0,504,546,-42,1604,1746,-142,25,30,-5,3,4,-1,279,261,18,1179,1761,-582,5,5,0,3,3,0
KR_8170643888,5.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8485,8863,-378,380,83,297,1780,1583,197,28,34,-6,5,5,0,73,381,-308,1923,1656,267,33,32,1,5,4,1,253,342,-89,1603,1592,11,35,33,2,5,5,0,666,864,-198,1766,2064,-298,27,41,-14,4,5,-1,513,468,45,1413,1968,-555,7,5,2,4,4,0
KR_8170643888,6.0,0,2,2,0,0,0,0,0,1,0,0,0,0,-1,0,9780,10508,-728,772,683,89,2172,2183,-11,42,53,-11,6,6,0,120,598,-478,2045,1873,172,33,36,-3,5,4,1,623,645,-22,1973,1895,78,47,42,5,6,6,0,72,1249,-1177,2022,2449,-427,33,48,-15,4,5,-1,668,308,360,1568,2108,-540,8,5,3,4,4,0
KR_8170643888,7.0,0,2,3,-1,0,0,0,0,1,0,0,0,0,-1,0,11288,12512,-1224,352,361,-9,2552,2461,91,55,60,-5,7,7,0,477,981,-504,2402,2256,146,41,48,-7,6,5,1,480,321,159,2130,2671,-541,49,53,-4,7,7,0,480,175,305,2430,2625,-195,48,51,-3,5,6,-1,124,694,-570,1774,2499,-725,11,6,5,4,5,-1
KR_8170643888,8.0,0,2,4,-2,0,0,0,0,1,0,0,0,0,-1,0,12540,14494,-1954,212,842,-630,2862,2942,-80,59,71,-12,7,7,0,689,1632,-943,2614,2907,-293,45,58,-13,6,6,0,738,587,151,2388,2937,-549,57,62,-5,7,7,0,710,542,168,2660,2992,-332,54,64,-10,6,6,0,366,911,-545,2016,2716,-700,11,7,4,5,5,0
KR_8170643888,9.0,0,3,5,-2,0,0,0,0,1,0,0,0,0,-1,0,14250,16389,-2139,547,194,353,3197,3669,-472,63,79,-16,8,8,0,262,209,53,3187,3309,-122,49,62,-13,7,7,0,1025,846,179,2675,3196,-521,65,68,-3,8,8,0,1017,886,131,2967,3341,-374,65,74,-9,6,7,-1,574,1069,-495,2224,2874,-650,13,7,6,6,6,0
KR_8170643888,10.0,0,4,5,-1,0,0,0,0,1,0,0,0,0,-1,0,16347,17896,-1549,398,75,323,3698,4050,-352,74,92,-18,8,8,0,1052,478,574,3977,3578,399,61,70,-9,7,7,0,199,33,166,2899,3483,-584,71,76,-5,8,9,-1,1382,107,1275,3332,3662,-330,77,84,-7,7,7,0,791,1318,-527,2441,3123,-682,14,8,6,6,6,0
